method,threshold,mean_iou,detection_agreement,mean_method_only_frac,mean_zimin_only_frac,n_timesteps
node_amplitude,10.0,0.30399576710291243,1.0,0.09758394218268597,0.3070534974889138,720
node_amplitude,15.0,0.3045032778863141,1.0,0.09598004988780254,0.30725972155438014,720
node_amplitude,20.0,0.3043341758031681,1.0,0.09264579270627414,0.30838296234706414,720
node_amplitude,25.0,0.30066308948130405,1.0,0.08600527205659739,0.31239751406920624,720
node_amplitude,30.0,0.28967662271696953,1.0,0.07666689206336486,0.32094333248740003,720
node_amplitude,35.0,0.2637707748765619,1.0,0.06284498216861677,0.3384286900500436,720
edge_pruning,0.0,0.37274450932939596,1.0,0.039896286909405,0.29186529402860145,720
edge_pruning,0.01,0.37382431501469965,1.0,0.03969112026054745,0.29138770346921694,720
edge_pruning,0.02,0.3694787627480193,1.0,0.034237716714751294,0.295932076565867,720
edge_pruning,0.04,0.2586823487652042,1.0,0.01736724691011736,0.3565029034433937,720
edge_pruning,0.06,0.09949778521366927,0.8166666666666667,0.005901692534416128,0.43627009926359284,720
edge_pruning,0.08,0.043636077188109905,0.5375,0.002753304148634931,0.4644778838533597,720
